sep=	
time (source1)	z	time (source1)	x	time (source1)	y
0	-144	0	-864	0	-64
0.033	28	0.01	-876	0.002	196
0.045	-64	0.01	-940	0.006	152
0.049	-332	0.014	-1132	0.007	-168
0.051	-332	0.016	-1320	0.009	-144
0.054	-68	0.019	-1280	0.017	-48
0.06	56	0.027	-964	0.025	108
0.062	64	0.03	-904	0.106	-36
0.077	-104	0.102	-1040	0.174	-52
0.148	-232	0.115	-1092	0.18	188
0.151	-272	0.189	-880	0.249	140
0.152	-172	0.194	-964	0.251	112
0.222	-140	0.257	-952	0.308	72
0.225	-260	0.323	-996	0.313	28
0.227	-244	0.329	-1000	0.323	-8
0.294	-164	0.398	-1020	0.388	-56
0.296	-152	0.402	-1040	0.39	-84
0.297	-180	0.408	-1020	0.402	-48
0.356	-160	0.474	-1020	0.464	-80
0.358	-156	0.478	-1012	0.466	-132
0.374	-136	0.481	-1040	0.473	-140
0.433	-136	0.546	-1072	0.538	-124
0.437	-144	0.653	-1088	0.641	-124
0.453	-152	0.654	-1084	0.644	-68
0.509	-144	0.659	-1076	0.647	-124
0.514	-128	0.661	-1044	0.651	-100
0.524	-132	0.664	-1048	0.652	-112
0.583	-132	0.666	-1040	0.662	-92
0.687	-140	0.677	-1028	0.67	-76
0.689	-208	0.828	-1004	0.819	-64
0.694	-128	0.835	-1016	0.823	-36
0.696	-140	0.852	-1108	0.833	-12
0.699	-136	0.863	-1092	0.836	8
0.707	-140	0.873	-1084	0.84	96
0.726	-144	0.996	-1004	0.855	140
0.864	-124	1.017	-976	0.927	196
0.878	-164	1.03	-980	0.989	-88
0.881	-196	1.102	-876	1.005	-116
0.896	-228	1.172	-836	1.023	-124
0.9	-220	1.205	-804	1.126	-212
0.906	-172	1.272	-808	1.16	-236
0.969	-144	1.305	-916	1.227	-216
0.972	-152	1.339	-980	1.26	-140
1.034	-152	1.372	-1036	1.327	-4
1.063	-156	1.421	-1	1.36	36
1.068	-132	1.421	-1072	1.392	28
1.171	-164	1.471	-1020	1.459	-32
1.238	-120	1.539	-904	1.492	-12
1.272	-144	1.572	-848	1.492	-16
1.338	-112	1.638	-988	1.56	-44
1.437	-48	1.723	-1172	1.576	60
1.572	-124	1.839	-1072	1.66	120
1.621	-180	1.839	-1180	1.66	-64
1.737	-172	1.938	-992	1.711	4
1.737	-252	2.004	-1036	1.76	-8
1.805	-196	2.123	-996	1.845	-132
1.837	-196	2.288	-1100	1.892	-132
1.837	-160	2.288	-1108	1.958	-204
1.89	-180	2.405	-1104	1.958	-152
1.937	-196	2.538	-1136	2.143	-96
1.971	-132	2.65	-1084	2.143	-128
2.037	-88	2.65	-1024	2.21	-116
2.121	-80	2.665	-1132	2.21	-128
2.121	-96	2.681	-1172	2.309	-8
2.205	-212	2.692	-1176	2.393	-20
2.205	-264	2.698	-1204	2.426	-40
2.288	-216	2.713	-1204	2.559	88
2.288	-220	2.718	-1164	2.559	68
2.354	-212	2.732	-1140	2.648	132
2.405	-204	2.749	-1080	2.653	104
2.471	-228	2.909	-1036	2.673	92
2.537	-188	3.018	-992	2.68	168
2.537	-176	3.031	-1016	2.696	184
